1679863259§11112§what's up tyler
1679863268§11112§see how we're totally chatting right now
1679863273§11112§isn't this super cool?
1679863278§11112§you're a ni
1679863422§11112§
1679863459§11116§wassup
1679863468§11116§aslkfdjsdlfj
1679863473§11112§bro it fucking worksssss
1679863524§11116§chat
1679863550§11116§hellohell'
1679863593§11116§ls
1679863633§11112§you're a little piss boy
1679863634§11112§exit
